,536,CFT073,F11,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
77594_galS,ECP_RS11150,c2685,AS527_RS19555,PROKKA_01920,PROKKA_00509,PROKKA_00952,PROKKA_01737,PROKKA_02198,PROKKA_04379,PROKKA_04038,PROKKA_04183,PROKKA_02447,PROKKA_00986,PROKKA_02481,PROKKA_00966,PROKKA_01614,PROKKA_02522,b2151,ECUMN_2484,UTI89_C2424
80766_hypothetical_protein,,,AS527_RS19005,,,,,,,,,,,,,,,,ECUMN_0864,
1106_Hypothetical_protein,,c1138,,,,,,,,,,,,,,,,,,
78681_rpmD,ECP_RS17290,c4063,AS527_RS20960,PROKKA_03155,PROKKA_01717,PROKKA_02284,PROKKA_03076,PROKKA_03396,PROKKA_03118,PROKKA_02833,PROKKA_00317,PROKKA_01209,PROKKA_02289,PROKKA_04750,PROKKA_02173,PROKKA_02783,PROKKA_01191,b3302,ECUMN_3775,UTI89_C3748
3117_Unknown_protein_enco..,,c3192,AS527_RS19035,,,,,,,,,PROKKA_04428,,,PROKKA_03762,,,,ECUMN_0872,UTI89_C3000
64360_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_03800,,,,,
75807_yahJ,ECP_RS02000,c0445,AS527_RS03595,PROKKA_04815,PROKKA_03300,PROKKA_04026,PROKKA_04766,PROKKA_00148,PROKKA_01387,PROKKA_01174,PROKKA_02102,PROKKA_04309,PROKKA_04062,PROKKA_00032,PROKKA_03863,PROKKA_04578,PROKKA_04560,b0324,ECUMN_0362,UTI89_C0353
45172_Integrase_core_domai..,,,,,,,,,,,,PROKKA_04974,,PROKKA_06064,,,,,,
76725_btuR,ECP_RS06700,c1735,AS527_RS22135,PROKKA_00906,PROKKA_04224,PROKKA_00030,PROKKA_00661,PROKKA_01280,PROKKA_00219,PROKKA_00202,PROKKA_03186,PROKKA_03376,PROKKA_00009 PROKKA_05093,PROKKA_01296,PROKKA_05015,PROKKA_00691,PROKKA_03477,b1270,ECUMN_1568,UTI89_C1538
25073_hypothetical_protein,,,,,,,,PROKKA_05061,,,,,,PROKKA_06318,PROKKA_05132,,,,,
78034_aroF,ECP_RS13320,c3122,AS527_RS19370,PROKKA_02365,PROKKA_00988,PROKKA_01390,PROKKA_02214,PROKKA_02640,PROKKA_03946,PROKKA_03612,PROKKA_04762 PROKKA_05376,PROKKA_01969,PROKKA_01467,,PROKKA_01403,PROKKA_02042,PROKKA_02075,b2601,ECUMN_2926,UTI89_C2934
75579_ftsI,ECP_RS00445,c0102,AS527_RS25005,PROKKA_04517,PROKKA_03012,PROKKA_03759,PROKKA_04448,PROKKA_04711,PROKKA_01764,PROKKA_01467,PROKKA_01803,PROKKA_04637,PROKKA_03752,PROKKA_03332,PROKKA_03502,PROKKA_04262,PROKKA_04811,b0084,ECUMN_0084,UTI89_C0093
77609_psuK,ECP_RS11240,c2701,AS527_RS19640,PROKKA_01935,PROKKA_00524,PROKKA_00966,PROKKA_01752,PROKKA_02214,PROKKA_04364,PROKKA_04022,PROKKA_04197,PROKKA_02432,PROKKA_01000,PROKKA_02503,PROKKA_00983,PROKKA_01628,PROKKA_02506,b2166,ECUMN_2502,UTI89_C2440
35211_ptxA,,,,,,,,,,PROKKA_00264,,,,,,,,,,
21822_nuoI_1,,,,,,,PROKKA_01864,,,,,,,,,,,,,
73821_hypothetical_protein,,,,,,,,,,,,,,,,,PROKKA_03441,,,
85074_DUF957_domain-contai..,ECP_RS01705,,AS527_RS30025,,,,,,,,,,,,,,,,,
76007_sfmH,,,,PROKKA_05029,,,PROKKA_04993,PROKKA_00363,,,,,,PROKKA_00261,,,,b0533,ECUMN_0573,
311_Putative_exopolygala..,,c0323,,,,,PROKKA_03486,,PROKKA_01564,,,,PROKKA_03951,,PROKKA_03691,,,,,
76717_trpC,ECP_RS06655,,AS527_RS22100,PROKKA_00898,PROKKA_04217,PROKKA_00020,PROKKA_00650,PROKKA_01273,PROKKA_00227,PROKKA_00212,PROKKA_03178,PROKKA_03386,PROKKA_05085,,PROKKA_05006,PROKKA_00683,PROKKA_03487,b1262,ECUMN_1561,UTI89_C1531
77583_dusC,ECP_RS11095,c2672,AS527_RS19500,PROKKA_01909,PROKKA_00498,PROKKA_00941,PROKKA_01718,PROKKA_02187,PROKKA_04390,PROKKA_04049,PROKKA_04172,PROKKA_02458,PROKKA_00975,PROKKA_02470,PROKKA_00955,PROKKA_01603,PROKKA_02533,b2140,ECUMN_2473,UTI89_C2413
76537_rne,ECP_RS05470,c1353,AS527_RS02750,PROKKA_00578,PROKKA_04051,PROKKA_04868,,PROKKA_01050,PROKKA_00548,PROKKA_00459,PROKKA_02819,PROKKA_03613,PROKKA_04750,,PROKKA_04738,PROKKA_00444,PROKKA_03738,b1084,ECUMN_1260,UTI89_C1209
76175_pxpA,ECP_RS03650,c0792,AS527_RS05305,PROKKA_00197,PROKKA_03670,PROKKA_04388,PROKKA_05192,PROKKA_00599,PROKKA_01041,PROKKA_00818,PROKKA_02459,PROKKA_03970,PROKKA_04395,PROKKA_00438,PROKKA_04206,PROKKA_04913,PROKKA_04207,b0713,ECUMN_0791,UTI89_C0711
20469_fhuE_1,,,,,,,PROKKA_00451,,,,,,,,,,,,,
75461_Integrase_core_domai..,,,,,,,,,,,,,,,,,PROKKA_05156,,,
78644_yhdT,ECP_RS17060,c4022,AS527_RS13475,PROKKA_03107,PROKKA_01669,PROKKA_02236,PROKKA_03025,PROKKA_03348,PROKKA_03168,PROKKA_02882,PROKKA_00268,PROKKA_01257,PROKKA_02237,PROKKA_04803,PROKKA_02124,PROKKA_02734,PROKKA_01243,b3257,ECUMN_3731,UTI89_C3699
76232_bioF,ECP_RS03970,c0856,AS527_RS05620,PROKKA_00270,PROKKA_03735,PROKKA_04459,PROKKA_00037,PROKKA_00666,PROKKA_00979,PROKKA_00755,PROKKA_02522,PROKKA_03908,PROKKA_04457,,PROKKA_04268,PROKKA_00009 PROKKA_04971,PROKKA_04144,b0776,ECUMN_0918,UTI89_C0774
57980_hypothetical_protein,,,,,,,,,,,,,,PROKKA_03048,,,,,,
29860_hin_2,,,,,,,,PROKKA_04968,,,,,,,,,,,,
21922_ypdA_2,,,,,,,PROKKA_01965,,,,,,,,,,,,,
79199_ubiE,ECP_RS20585,c4782,AS527_RS08565,PROKKA_03749,PROKKA_02269,PROKKA_02960,PROKKA_03697,PROKKA_03974,PROKKA_02504,PROKKA_02244,PROKKA_00917,PROKKA_00621,PROKKA_02892,PROKKA_05821,PROKKA_02764,PROKKA_03407,PROKKA_00592,b3833,ECUMN_4359,UTI89_C4420
53012_ecpD_2,ECP_RS19260,,,,,,,,,,,,PROKKA_03484,,,PROKKA_03874,PROKKA_05166,,,UTI89_C4906
77872_eutL,ECP_RS12550,c2973,AS527_RS09880,PROKKA_02194,PROKKA_00820,PROKKA_01238,PROKKA_02023,PROKKA_02469,PROKKA_04097,PROKKA_03763,PROKKA_04584,PROKKA_02177,PROKKA_01266,PROKKA_02824,PROKKA_01244,PROKKA_01886,PROKKA_02238,b2439,ECUMN_2760,UTI89_C2772
77562_yehL,ECP_RS10980,c2649,AS527_RS12960,PROKKA_01888,PROKKA_00477,PROKKA_00918,,PROKKA_02164,PROKKA_04412,PROKKA_04072,PROKKA_04149 PROKKA_05381,PROKKA_02479,PROKKA_00953,PROKKA_02440,PROKKA_00933,,PROKKA_02556,b2119,ECUMN_2453,UTI89_C2392
50990_hypothetical_protein,,,,,,,,,,,,,PROKKA_01332,,,,,,,
78947_avtA,ECP_RS18730,c4393,AS527_RS00445,PROKKA_03463,PROKKA_01990,PROKKA_02573,PROKKA_03374,PROKKA_03669,PROKKA_02815,PROKKA_02530,PROKKA_00613,PROKKA_00917,PROKKA_02587,PROKKA_04437,PROKKA_02475,PROKKA_03072,PROKKA_00895,b3572,ECUMN_4085,UTI89_C4114
76843_ydbH,ECP_RS07170,c1828,AS527_RS24235,PROKKA_00988,PROKKA_04315,PROKKA_00121,PROKKA_00797,PROKKA_01374,PROKKA_00126,PROKKA_00110,PROKKA_03272,PROKKA_03221,PROKKA_00098,PROKKA_01469,PROKKA_00030,PROKKA_00777,PROKKA_03384,b1381,ECUMN_1648,UTI89_C1624
3414_yqfE,ECP_RS14850,c3496,AS527_RS17610,,PROKKA_01312,PROKKA_01763,PROKKA_02558,PROKKA_02969,PROKKA_03633,PROKKA_03282,PROKKA_05064,PROKKA_01644,PROKKA_01763,,PROKKA_01717,PROKKA_02343,PROKKA_01746,,,UTI89_C3301
20529_hypothetical_protein,,,,,,,PROKKA_00513,,,,,,,,,,,,,
2458_Hypothetical_protein,,c2528,,,,,,,,,,,,,,,,,,
57906_argC_2,,,,,,,,,,,,,,PROKKA_05991,,,,,,
5044_Hypothetical_protein,,c5153,,,,,,,,,,,,,,,,,,UTI89_C4993
21602_hypothetical_protein,,,,,,,PROKKA_01638,,,,,,,,,,,,,
49330_hypothetical_protein,,,,,,,,,,,,PROKKA_04364,,,,,,,,
3557_N-acetylneuraminate_..,,c3639,,,,PROKKA_01874,,,PROKKA_03542,,PROKKA_04902,,PROKKA_01872,,,,,,ECUMN_3385,
76116_leuS,ECP_RS03355,c0733,AS527_RS04990,PROKKA_00137,PROKKA_03602,PROKKA_04320,PROKKA_05120,PROKKA_00528,PROKKA_01105,PROKKA_00893,PROKKA_02395,PROKKA_04038,PROKKA_04333,PROKKA_00369,PROKKA_04142,PROKKA_04851,,b0642,ECUMN_0736,UTI89_C0645
2476_hisL,,c5496,,,,,,,,,,,,,,,,,,
20524_hypothetical_protein,,,,,,,PROKKA_00508,,,,,,,,,,,,,
34831_Transposase-_Mutator..,,,,,,,,,,PROKKA_04842 PROKKA_04969,,,,,,,,,,
75992_fdrA,ECP_RS02875,c0632,AS527_RS04500,PROKKA_05014,PROKKA_03497,PROKKA_04209,PROKKA_04977,PROKKA_00347,PROKKA_01203,,PROKKA_02284,PROKKA_04136,PROKKA_04236,PROKKA_00246,PROKKA_04041,PROKKA_04753,PROKKA_04375,b0518,ECUMN_0558,UTI89_C0546
2360_Hypothetical_protein,,c2425,,,,,,,,,,,,,,,,,,
78430_nudF,ECP_RS15945,c3780,AS527_RS10985,,PROKKA_01443,,,PROKKA_03204,,PROKKA_03104,,PROKKA_01483,PROKKA_02015,PROKKA_05127,,PROKKA_02509,PROKKA_01477,b3034,ECUMN_3519,UTI89_C3468
78865_yhiM,ECP_RS18260,c4289,AS527_RS07825,PROKKA_03352,PROKKA_01889,PROKKA_02474,PROKKA_03271,PROKKA_03577,PROKKA_02919,PROKKA_02639,PROKKA_00510,PROKKA_01016,PROKKA_02489,PROKKA_04559,PROKKA_02378,PROKKA_02976,PROKKA_00995,b3491,ECUMN_3976,UTI89_C4010
78984_gpsA,ECP_RS18895,c4430,AS527_RS00615,PROKKA_03502,PROKKA_02028,PROKKA_02609,,PROKKA_03715,PROKKA_02778,PROKKA_02493,PROKKA_00657,PROKKA_00880,PROKKA_02623,PROKKA_04384,PROKKA_02509,PROKKA_03106,PROKKA_00862,b3608,ECUMN_4125,UTI89_C4149
10348_TraP_protein,,,AS527_RS09175,PROKKA_05262,,,,PROKKA_04862,,PROKKA_04893,PROKKA_05501,,,PROKKA_06148,,,PROKKA_05340,,ECUMN_p10106,UTI89_P111
76369_ycaI,ECP_RS04660,c1052,,PROKKA_00424,PROKKA_03880,PROKKA_04713,PROKKA_00242,,PROKKA_00840,PROKKA_00613,PROKKA_02666,PROKKA_03768,PROKKA_04596,PROKKA_00886,PROKKA_04418,PROKKA_00223,PROKKA_03990,b0913,ECUMN_1106,UTI89_C0984
76327_ltaE,ECP_RS04455,c1003,AS527_RS06315,PROKKA_00380,PROKKA_03835,PROKKA_04555,PROKKA_00160,PROKKA_00772,PROKKA_00884,PROKKA_00658,PROKKA_02621,PROKKA_03812,PROKKA_04552,PROKKA_00781,PROKKA_04366,PROKKA_00150,PROKKA_04046,b0870,ECUMN_1065,UTI89_C0873
2263_Hypothetical_protein,,c2328,,,,,,,,,,,,,,,,,,
22402_Phage_regulatory_pro..,,,,,,,PROKKA_02479,,,,,,,,,,,,,
14602_putative_lipoprotein,,,,,PROKKA_04453,,,PROKKA_01507,,,,,,PROKKA_01595,,,,,,
17358_hypothetical_protein,,,,,,PROKKA_02673,,,,,,,,,,,,,,
25054_hypothetical_protein,,,,,,,,PROKKA_05041,,,,,,PROKKA_06296,PROKKA_05151,,,,,
78470_patA,ECP_RS16140,c3828,AS527_RS14345,PROKKA_02924,PROKKA_01483,PROKKA_02052,PROKKA_02823,PROKKA_03164,PROKKA_03355,PROKKA_03065,PROKKA_00076,PROKKA_01440,PROKKA_02059,PROKKA_05013,PROKKA_01936,PROKKA_02551,PROKKA_01436,b3073,ECUMN_3556,UTI89_C3511
4907_Hypothetical_protein,,c5012,,,,,,,,,,,,,,,,,,
56872_pepT_2,,,,,,,,,,,,,,PROKKA_02222,,,,,,
45848_DNA-binding_transcri..,,,,,,,,,,,,PROKKA_00711,,,,,,,,
57361_fadI_2,,,,,,,,,,,,,,PROKKA_02729,,,,,,
34811_hypothetical_protein,,,,,,,,,PROKKA_05158,,,,,,,,,,,
10582_hypothetical_protein,,,,,PROKKA_00198,,,,,,PROKKA_03799,,,,,,,,,
1518_Hypothetical_protein,,c1566,,,,,,,,,,,,,,,,,,UTI89_C1307
78155_nlpD,ECP_RS13925,c3308,AS527_RS18515,PROKKA_02508,PROKKA_01105,PROKKA_01562,PROKKA_02339,PROKKA_02783,PROKKA_03827,PROKKA_03480,PROKKA_05261,PROKKA_01840,PROKKA_01583,PROKKA_05576,PROKKA_01518,PROKKA_02153,PROKKA_01945,b2742,ECUMN_3065,UTI89_C3112
59280_selA_1,,,,,,,,,,,,,,PROKKA_04412,,,,,,
5238_Hypothetical_protein,ECP_RS22905,c5347,AS527_RS21740,,,,,,PROKKA_02015,PROKKA_01764,,PROKKA_00130,PROKKA_03335,,PROKKA_03244,,PROKKA_00034,,,UTI89_C4854
77938_pdeF,ECP_RS12780,c3021,AS527_RS10110,PROKKA_02250,PROKKA_00883,PROKKA_01285,PROKKA_02091,PROKKA_02531,PROKKA_04051,PROKKA_03717,PROKKA_04631,PROKKA_02131,PROKKA_01311,,PROKKA_01289,PROKKA_01930,PROKKA_02191,b2503,ECUMN_2817,UTI89_C2819
99607_hypothetical_protein,,,,,,,,,,,,,,,,,,,,UTI89_P020
66126_hypothetical_protein,,,,,,,,,,,,,,,,PROKKA_00505,,,,
4116_Putative_minor_fimbr..,ECP_RS17930,c4209,,,,,,,PROKKA_02991,PROKKA_02706,PROKKA_00445,,PROKKA_02418,,PROKKA_02301,PROKKA_02908,PROKKA_01060,,,UTI89_C3931
4564_Hypothetical_protein,,c4663,,,,,,,,,,,,,,,,,,UTI89_C4290
4404_Hypothetical_protein,,c4499,,,,,,,,,,,,,,,,,,
