,536,CFT073,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
20409_murJ_1,,,,,,PROKKA_00413,,,,,,,,,,,,,
78045_yfjD,ECP_RS13375,c3133,PROKKA_02376,PROKKA_00999,PROKKA_01401,PROKKA_02225,PROKKA_02651,PROKKA_03935,PROKKA_03601,PROKKA_05365,PROKKA_01958,PROKKA_01478,PROKKA_05692,PROKKA_01414,PROKKA_02053,PROKKA_02064,b4461,ECUMN_2937,UTI89_C2945
79425_fdhF,ECP_RS22015,c5625,PROKKA_04064,PROKKA_02545,PROKKA_03256,PROKKA_04000,PROKKA_04262,PROKKA_02199,PROKKA_01945,PROKKA_01265,PROKKA_00321,PROKKA_03192,PROKKA_03928,PROKKA_03061,PROKKA_03738,PROKKA_00215,b4079,ECUMN_4615,
44789_traI_1,,,,,,,,,,PROKKA_05421,,,,,,PROKKA_05356,,,
77188_ydjM,ECP_RS08545,c2127,PROKKA_01381,PROKKA_00051,PROKKA_00395,PROKKA_01243,PROKKA_01715,PROKKA_04934,PROKKA_04560,PROKKA_03570,PROKKA_02948,PROKKA_00390,PROKKA_01900,PROKKA_00381,PROKKA_01103,PROKKA_03066,b1728,ECUMN_2017,UTI89_C1922
77951_rodZ,ECP_RS12865,c3038,PROKKA_02271,PROKKA_00898,PROKKA_01304,PROKKA_02108,PROKKA_02547,PROKKA_04030,PROKKA_03697,PROKKA_04670,PROKKA_02112,PROKKA_01381,PROKKA_02908,PROKKA_01308,PROKKA_01952,PROKKA_02172,b2516,ECUMN_2836,UTI89_C2837
85023_hypothetical_protein,ECP_RS24360,,,,,,,,,,,,,,,,,,
44954_espP_2,,,,,,,,,,PROKKA_05595,,,,,,,,,
4393_Putative_transcripti..,ECP_RS19155,c4488,,,PROKKA_02664,,,PROKKA_02725,PROKKA_02441,PROKKA_00711,PROKKA_00828,PROKKA_02676,PROKKA_04326,PROKKA_02564,PROKKA_03159,PROKKA_00808,,,UTI89_C4208
3521_Hypothetical_protein,,c3603,,,PROKKA_01858,,,,,PROKKA_04917,,PROKKA_01856,,,,,,ECUMN_3352,
78042_rpsP,ECP_RS13360,c3130,PROKKA_02373,PROKKA_00996,PROKKA_01398,PROKKA_02222,PROKKA_02648,PROKKA_03938,PROKKA_03604,PROKKA_05368 PROKKA_04770,PROKKA_01961,PROKKA_01475,PROKKA_05696,PROKKA_01411,PROKKA_02050,PROKKA_02067,b2609,ECUMN_2934,UTI89_C2942
77472_hisA,ECP_RS10530,c2551,PROKKA_01734,PROKKA_00363,PROKKA_00819,PROKKA_01567,PROKKA_02068,PROKKA_04516,PROKKA_04182,PROKKA_04048,PROKKA_02579,PROKKA_00849,PROKKA_02315,PROKKA_00827,PROKKA_01476,PROKKA_02662,b2024,ECUMN_2366,UTI89_C2297
37671_hypothetical_protein,,,,,,,,,PROKKA_02871,,,,,,,,,,
31334_lsrE,,,,,,,,PROKKA_01493,,,,,,,,,,,
20298_mgsA_2,,,,,,PROKKA_00299,,,PROKKA_00563,,,,,PROKKA_04463,,,,,
43064_hypothetical_protein,,,,,,,,,,PROKKA_03096,,,,,,,,,
77933_upp,ECP_RS12755,c3015,PROKKA_02245,PROKKA_00878,PROKKA_01280,PROKKA_02086,PROKKA_02526,PROKKA_04056,PROKKA_03722,PROKKA_04626,PROKKA_02136,PROKKA_01306,PROKKA_02880,PROKKA_01284,PROKKA_01925,PROKKA_02196,b2498,ECUMN_2811,UTI89_C2814
44382_hypothetical_protein,,,,,,,,,,PROKKA_04478,,,,,,,,,
71894_GTPase_Era,,,,,,,,,,,,,,,,PROKKA_01619,,,
14803_hypothetical_protein,,,,,PROKKA_00005 PROKKA_05191,,PROKKA_00421,,,,,,,,,,,,UTI89_C1520
586_Hypothetical_protein,ECP_RS02755,c0608,,,,,,PROKKA_01230,PROKKA_01022,,,PROKKA_04210,,PROKKA_04016,,PROKKA_04401,,,
21051_asr,,,,,,PROKKA_01082,,,,,,,,,,,,,
77757_accD,ECP_RS12000,c2861,PROKKA_02089,PROKKA_00660,PROKKA_01122,PROKKA_01905,PROKKA_02357,PROKKA_04209,PROKKA_03871,PROKKA_04421,PROKKA_02280,PROKKA_01155,PROKKA_02697,PROKKA_01136,PROKKA_01782,PROKKA_02347,b2316,ECUMN_2656,UTI89_C2601
11658_hypothetical_protein,,,,PROKKA_01338,,,,,,,,,,,,,,,
78326_yggE,ECP_RS14870,c3500,PROKKA_02715,PROKKA_01319,PROKKA_01769,PROKKA_02565,PROKKA_02976,PROKKA_03629,PROKKA_03278,PROKKA_05059,PROKKA_01640,PROKKA_01767,PROKKA_05332,PROKKA_01721,PROKKA_02347,PROKKA_01742,b2922,ECUMN_3266,UTI89_C3305
78548_yhbT,ECP_RS16535,c3910,PROKKA_03006,PROKKA_01570,PROKKA_02129,PROKKA_02920,PROKKA_03077,PROKKA_03276,PROKKA_02988,PROKKA_00158,PROKKA_01363,PROKKA_02134,PROKKA_04919,PROKKA_02016,PROKKA_02630,PROKKA_01353,b3157,ECUMN_3637,UTI89_C3584
57633_ilvA_1,,,,,,,,,,,,,PROKKA_05730,,,,,,
79357_yjaB,ECP_RS21530,c4969,PROKKA_03987,PROKKA_02469,PROKKA_03155,PROKKA_03910,PROKKA_04182,PROKKA_02303,PROKKA_02033,PROKKA_01170,PROKKA_00420,PROKKA_03091,PROKKA_04042,PROKKA_02965,PROKKA_03645,PROKKA_00395,b4012,ECUMN_4538,UTI89_C4571
78984_gpsA,ECP_RS18895,c4430,PROKKA_03502,PROKKA_02028,PROKKA_02609,PROKKA_03421,PROKKA_03715,PROKKA_02778,PROKKA_02493,PROKKA_00657,PROKKA_00880,PROKKA_02623,PROKKA_04384,PROKKA_02509,PROKKA_03106,PROKKA_00862,b3608,ECUMN_4125,UTI89_C4149
30945_asnB_1,,,,,,,,PROKKA_01081,PROKKA_00869,,,,,,,,,,
4085_Hypothetical_protein,,c4178,,,,,,PROKKA_03020,PROKKA_02736,,,PROKKA_02388,,,,,,,
3516_Hypothetical_protein,,c3598,,,,,,,,,,,,,,,,,
50996_hypothetical_protein,,,,,,,,,,,,PROKKA_01339,,,,,,,
59884_2-keto-3-deoxy-galac..,,,,,,,,,,,,,PROKKA_02244,,,,,,
38269_fhlA_2,,,,,,,,,PROKKA_03496,,,PROKKA_01568,,,,,,,
76673_chaA,ECP_RS06420,c1676,PROKKA_00779,PROKKA_04169,PROKKA_05084,PROKKA_00598,PROKKA_01227,PROKKA_00282,PROKKA_00335,PROKKA_03041,PROKKA_03437,PROKKA_05033,PROKKA_01235,PROKKA_04959,PROKKA_00632,PROKKA_03536,b1216,ECUMN_1515,UTI89_C1411
77324_ruvB,ECP_RS09255,c2274,PROKKA_01522,PROKKA_00185,PROKKA_00530,PROKKA_01397,PROKKA_01852,PROKKA_04794,PROKKA_04417,PROKKA_03710,PROKKA_02814,PROKKA_00526,PROKKA_02053,PROKKA_00519,PROKKA_01234,PROKKA_02916,b1860,ECUMN_2158,UTI89_C2064
1441_Hypothetical_protein,,c1489,,,,,,,,,,,,,,,,,
75602_ppdD,ECP_RS00555,c0127,PROKKA_04541,PROKKA_03036,PROKKA_03782,PROKKA_04472,PROKKA_04686,PROKKA_01738,PROKKA_01444,PROKKA_01826,PROKKA_04614,PROKKA_03777,PROKKA_03305,PROKKA_03525,PROKKA_04287,PROKKA_04788,b0108,ECUMN_0105,UTI89_C0115
65195_hypothetical_protein,,,,,,,,,,,,,,PROKKA_04679,,,,,
77343_flhE,ECP_RS09340,c2292,PROKKA_01539,PROKKA_00216,PROKKA_00547,PROKKA_01415,PROKKA_01874,PROKKA_04776,PROKKA_04400,PROKKA_03818 PROKKA_05389,PROKKA_02797,PROKKA_00543,PROKKA_02072,PROKKA_00536,PROKKA_01251,PROKKA_02898,b1878,ECUMN_2175,UTI89_C2081
3665_Hypothetical_oxidore..,ECP_RS15815,c3751,PROKKA_02861,,PROKKA_01980,,,PROKKA_03430,PROKKA_03133,PROKKA_04792,PROKKA_01509,PROKKA_01983,,PROKKA_01854,PROKKA_02477,PROKKA_01518,,,UTI89_C3437
79118_atpI,ECP_RS20010,c4667,PROKKA_03654,PROKKA_02172,PROKKA_02844,PROKKA_03593,PROKKA_03872,PROKKA_02625,PROKKA_02358,PROKKA_00793,PROKKA_00744,PROKKA_02775,PROKKA_04115,PROKKA_02644,PROKKA_03288,PROKKA_00711,b3739,ECUMN_4269,UTI89_C4294
54909_bla_1,,,,,,,,,,,,,PROKKA_06093,,,,,,
245_Hypothetical_protein,,c0255,,,,,,PROKKA_01617,,,,PROKKA_03898,,PROKKA_03644,,,,,
395_2-5-diketo-D-gluconi..,ECP_RS01840,c0414,PROKKA_04791,,PROKKA_03997,,,PROKKA_01420,PROKKA_01204,PROKKA_02071,PROKKA_04339,PROKKA_04033,PROKKA_03015,PROKKA_03833,PROKKA_04548,PROKKA_04589,,ECUMN_0336,UTI89_C0320
78928_yiaG,ECP_RS18645,c4375,PROKKA_03444,PROKKA_01972,PROKKA_02553,PROKKA_03352,PROKKA_03650,PROKKA_02835,PROKKA_02550,PROKKA_00593,PROKKA_00936,PROKKA_02567,PROKKA_04461,PROKKA_02455,PROKKA_03053,PROKKA_00917,b3555,ECUMN_4067,UTI89_C4095
35748_hypothetical_protein,,,,,,,,,PROKKA_00830,,,,,,,,,,
26425_hypothetical_protein,,,,,,,PROKKA_01135,,,,,,,,,,,,
44944_hypothetical_protein,,,,,,,,,,PROKKA_05585,,,,,,,,,
17417_hypothetical_protein,ECP_RS23465,,,,PROKKA_02748,,,,,PROKKA_01342,,,,,PROKKA_03813,PROKKA_05085,,,UTI89_C4983
57833_proC_2,,,,,,,,,,,,,PROKKA_00101,,,,,,
90743_hypothetical_protein,,,,,,,,,,,,,,,,,,,UTI89_C1395
76119_ybeR,,,PROKKA_00140,PROKKA_03605,,PROKKA_05123,PROKKA_00531,,,,,,PROKKA_00372,,,,b0645,ECUMN_0739,
77086_blr,ECP_RS08005,,,,,,,,,,,,,,,,b4409,ECUMN_1915,UTI89_C1813
79401_aphA,ECP_RS21845,c5045,PROKKA_04039,PROKKA_02520,PROKKA_03223,PROKKA_03972,PROKKA_04237,PROKKA_02232,PROKKA_01974,PROKKA_01232,PROKKA_00353,PROKKA_03159,PROKKA_03959,PROKKA_03028,PROKKA_03706,PROKKA_00251,b4055,ECUMN_4591,UTI89_C4641
36600_hypothetical_protein,,,,,,,,,PROKKA_01725,,,,,,,,,,
80724_hypothetical_protein..,,,,,,,,,,,,,,,,,,ECUMN_0966,
25289_tmrB,,,,,,,PROKKA_04961,,,,,,PROKKA_06254,,,,,,
25743_ompX_1,,,,,,,PROKKA_00420,,,,,,,,,,,,
20334_torA_1,,,,,,PROKKA_00337,PROKKA_00965,,,,,PROKKA_04666,,PROKKA_04490,PROKKA_00295,,,,
87680_hypothetical_protein,ECP_RS26425,,,,,,,,,,,,,,,,,,
1495_Putative_superinfect..,,c1543,PROKKA_00652,,,,,PROKKA_00404,,,,PROKKA_04911,,,,PROKKA_03661,,ECUMN_1392,UTI89_C1283
27348_PAP2_superfamily_pro..,,,,,,,PROKKA_02103,,,,,,,,,,,,
1382_Hypothetical_protein,,c1430,,,,,,,,,,,,,,,,,
53421_klcA_5,,,,,,,,,,,,PROKKA_03914,,,,,,,
4133_Hypothetical_protein,,c4226,,,,,,,,,,,,,,,,,
76599_ymfT,,,,,PROKKA_01461,PROKKA_05002,,,,,,,,,,PROKKA_00336,b1146,,
76090_citX,ECP_RS03215,c0702,PROKKA_00109,PROKKA_03574,PROKKA_04292,PROKKA_05089,PROKKA_00499,PROKKA_01133,PROKKA_00923,PROKKA_02367,PROKKA_04066,PROKKA_04305,PROKKA_00339,PROKKA_04114,PROKKA_04823,PROKKA_04297,b0614,ECUMN_0707,UTI89_C0616
77691_nudI,ECP_RS11685,c2793,PROKKA_02027,PROKKA_00599,PROKKA_01058,PROKKA_01838,PROKKA_02293,PROKKA_04271,PROKKA_03932,PROKKA_04356,PROKKA_02344,PROKKA_01092,PROKKA_02622,PROKKA_01072,PROKKA_01718,PROKKA_02415,b2251,ECUMN_2592,UTI89_C2533
75730_yafW,,,,,,,,,,,,,,,,,b0246,,
60292_hypothetical_protein,,,,,,,,,,,,,PROKKA_02667,,,,,,
75621_yadG,ECP_RS00685,c0156,PROKKA_04561,PROKKA_03057,PROKKA_03808,PROKKA_04496,PROKKA_04744,PROKKA_01714,PROKKA_01423,PROKKA_01851,PROKKA_04591,PROKKA_03801,PROKKA_03282,PROKKA_03549,PROKKA_04311,PROKKA_04764,b0127,ECUMN_0124,UTI89_C0140
19899_Ribbon-helix-helix_p..,,,,,PROKKA_05383,,,,,PROKKA_05441,,,PROKKA_06249,PROKKA_05190,,PROKKA_05262,,,
44203_hypothetical_protein,,,,,,,,,,PROKKA_04295,,,,,,,,,
77688_yfaX,ECP_RS11670,c2790,,,PROKKA_01054,,,PROKKA_04274,PROKKA_03935,PROKKA_04353,PROKKA_02347,PROKKA_01088,PROKKA_02618,PROKKA_01069,PROKKA_01715,PROKKA_02418,b2248,,UTI89_C2530
79715_deoA,ECP_RS23940,c5466,PROKKA_04404,PROKKA_02905,PROKKA_03641,PROKKA_04332,PROKKA_04589,PROKKA_01878,PROKKA_01583,PROKKA_01693,PROKKA_04752,PROKKA_03641,PROKKA_03458,PROKKA_03388,PROKKA_04151,PROKKA_04922,b4382,ECUMN_5006,UTI89_C5153
22126_hypothetical_protein,,,,,,PROKKA_02211,,,,,,,,,,PROKKA_02079,,,
5598_Phage_major_capsid_p..,,,PROKKA_00009 PROKKA_05081,,,,,,,,,,,,,,,,
79601_holC,ECP_RS22955,c5359,PROKKA_04293,PROKKA_02731,PROKKA_03460,PROKKA_04199,PROKKA_04453,PROKKA_02004,PROKKA_01753,PROKKA_01533,PROKKA_00119,PROKKA_03325,PROKKA_03645,PROKKA_03255,PROKKA_04040,PROKKA_00024,b4259,ECUMN_4791,UTI89_C4865
4663_Putative_conserved_p..,ECP_RS20495,c4761,,,PROKKA_02942,,,PROKKA_02523,PROKKA_02256,PROKKA_00899,PROKKA_00639,PROKKA_02874,PROKKA_05798,PROKKA_02752,PROKKA_03389,PROKKA_00611,,,UTI89_C4402
79673_yjiM,ECP_RS23705,c5418,PROKKA_04341,PROKKA_02826,PROKKA_03594,PROKKA_04276,PROKKA_04550,PROKKA_01925,PROKKA_01635,PROKKA_01644,PROKKA_00044,PROKKA_03594,PROKKA_03502,PROKKA_03339,PROKKA_04099,PROKKA_05038,b4335,ECUMN_4946,UTI89_C5045
26412_hypothetical_protein,,,,,,,PROKKA_01122,,,PROKKA_03750,,,,,,,,,
18144_hypothetical_protein,,,,,PROKKA_03534,,,,,,,,,,,,,,
79080_ysdD,,,,,,,,,,,,,,,,,b4757,,
82273_hypothetical_protein,,,,,,,,,,,,,,,,,,ECUMN_2556,
74038_bmrA,,,,,,,,,,,,,,,,PROKKA_03855,,,
77971_hcaT,ECP_RS12965,c3062,PROKKA_02295,PROKKA_00920,PROKKA_01327,PROKKA_02131,PROKKA_02571,PROKKA_04008,PROKKA_03675,PROKKA_04692,PROKKA_02090,PROKKA_01405,PROKKA_02933,PROKKA_01330,PROKKA_01974,PROKKA_02150,b2536,ECUMN_2856,UTI89_C2858
89223_hypothetical_protein,ECP_RS25990,,,,,,,,,,,,,,,,,,UTI89_C4939
61223_pqiB_2,,,,,,,,,,,,,,PROKKA_00487,,,,,
23139_hypothetical_protein,,,,,,PROKKA_03269,PROKKA_03575,,,,,,,,,,,,
57934_yfkN_2,,,,,,,,,,,,,PROKKA_00205,,,,,,
2888_Hypothetical_protein,,c2963,,,,,,,,,,,,,,,,,UTI89_C2762
10130_rbsA_3,,,PROKKA_04818,PROKKA_03303,,PROKKA_04769,PROKKA_00151,,,,,,,,,,,ECUMN_0365,UTI89_C0356
77172_btuC,ECP_RS08460,c2107,PROKKA_01363,PROKKA_00033,PROKKA_00377,PROKKA_01223,PROKKA_01695,PROKKA_04952,PROKKA_04578,PROKKA_03552,PROKKA_02966,PROKKA_00372,PROKKA_01880,PROKKA_00363,PROKKA_01085,PROKKA_03086,b1711,ECUMN_2002,UTI89_C1904
38939_hypothetical_protein,,,,,,,,,PROKKA_04204,,,,,PROKKA_00806,PROKKA_01456,,,ECUMN_2350,
76763_puuE,,,PROKKA_00943,PROKKA_04261,,PROKKA_00701,PROKKA_01320,,,,,,PROKKA_01338,,,,b1302,ECUMN_1608,
75626_rpnC,ECP_RS00710,c0162,PROKKA_04566,PROKKA_03062,PROKKA_03813,PROKKA_04501,PROKKA_04749,PROKKA_01709,PROKKA_01418,PROKKA_01856,PROKKA_04586,PROKKA_03806,PROKKA_03277,PROKKA_03554,PROKKA_04316,PROKKA_04759,b0132,ECUMN_0130,UTI89_C0146
30524_hypothetical_protein,,,,,,,,PROKKA_00646,,,,,,,,,,,
30715_ComEC_family_compete..,,,,,,,,PROKKA_00839,,,,,PROKKA_00887,,,,,,
4674_Hypothetical_protein,,c4772,,,,,,,,,,,,,,,,,
75585_murG,ECP_RS00475,c0108,PROKKA_04523,PROKKA_03019,PROKKA_03765,PROKKA_04454,PROKKA_04704,PROKKA_01757,PROKKA_01461,PROKKA_01809,PROKKA_04631,PROKKA_03758,PROKKA_03323,PROKKA_03508,PROKKA_04268,PROKKA_04805,b0090,ECUMN_0090,UTI89_C0099
3592_Hypothetical_protein,,c3674,,,,,,,,,,,,,,,,,
50417_hypothetical_protein,,,,,,,,,,,,PROKKA_00736,,,,,,,
3897_Hypothetical_protein,,c3988,,,,,,,,,,,,,,,,,UTI89_C3664
78708_gspH,ECP_RS17425,c4100,,,PROKKA_02311,,,PROKKA_03091,PROKKA_02806,PROKKA_00344,PROKKA_01182,PROKKA_02316,,PROKKA_02200,PROKKA_02810,PROKKA_01163,b3329,,UTI89_C3784
85090_hypothetical_protein,ECP_RS24410,,,,,,,,,,,,,,,,,,UTI89_C0312
77342_yecT,,,,PROKKA_00215,,PROKKA_01414,PROKKA_01873,,,,,,PROKKA_02071,,,,b1877,,
24203_ygcS_3,,,,,,PROKKA_04407,,,,,,,,PROKKA_03460,,,,,
77621_yejA,ECP_RS11300,c2714,PROKKA_01947,PROKKA_00536,PROKKA_00978,PROKKA_01765,PROKKA_02227,PROKKA_04352,PROKKA_04010,PROKKA_04209,PROKKA_02420,PROKKA_01012,PROKKA_02517,PROKKA_00995,PROKKA_01641,PROKKA_02494,b2177,ECUMN_2514,UTI89_C2454
61388_hypothetical_protein,,,,,,,,,,,,,,PROKKA_00660,,,,,
340_Hypothetical_protein,,c0359,,,,,,,,,,,,,,,,,
77282_manZ,ECP_RS09020,c2226,PROKKA_01475,PROKKA_00138,PROKKA_00483,PROKKA_01349,PROKKA_01805,PROKKA_04841,PROKKA_04469,PROKKA_03665,PROKKA_02861,PROKKA_00479,PROKKA_02001,PROKKA_00470,PROKKA_01190,PROKKA_02964,b1819,ECUMN_2111,UTI89_C2017
76480_pgaC,ECP_RS05170,c1161,,PROKKA_03991,PROKKA_04810,PROKKA_00364,PROKKA_00992,PROKKA_00742,,PROKKA_02762,PROKKA_03672,PROKKA_04693,PROKKA_00999,PROKKA_04516,PROKKA_00322,PROKKA_03896,b1022,,UTI89_C1085
1368_Hypothetical_protein,,c1416,,,,,PROKKA_01108,PROKKA_00488,,PROKKA_02876,,PROKKA_04808,,,,,,,
46916_hypothetical_protein,,,,,,,,,,,PROKKA_02061,,,,,,,,
77412_yodD,ECP_RS09675,c2372,PROKKA_01612,PROKKA_00289,PROKKA_00686,PROKKA_01483,PROKKA_01955,PROKKA_04703,PROKKA_04325,PROKKA_03893,PROKKA_02723,PROKKA_00616,PROKKA_02153,PROKKA_00609,PROKKA_01324,,b1953,ECUMN_2245,UTI89_C2155
17367_hypothetical_protein,,,,,PROKKA_02696,,,,,,,,,,,,,,
9270_hypothetical_protein,,,PROKKA_03896,,,,,,,,,,,,,,,ECUMN_4458,
31296_hypothetical_protein,,,,,,,,PROKKA_01452,,,,,,,,,,,
80728_hypothetical_protein..,,,,,,,,,,,,,,,,,,ECUMN_0970,
76648_ycgR,ECP_RS06280,c1644,PROKKA_00747,PROKKA_04141,PROKKA_05022,PROKKA_00568,PROKKA_01197,PROKKA_00313,PROKKA_00365,PROKKA_03012,PROKKA_03465,PROKKA_05004,PROKKA_01170,PROKKA_04929,PROKKA_00602,PROKKA_03565,b1194,ECUMN_1485,UTI89_C1381
69448_tamA_2,,,,,,,,,,,,,,,PROKKA_04003,,,,
39911_hypothetical_protein,,,,,,,,,,PROKKA_05171,,,,PROKKA_01609,,,,,
79597_rraB,ECP_RS22935,c5354,PROKKA_04289,PROKKA_02727,PROKKA_03456,PROKKA_04194,PROKKA_04446,PROKKA_02008,PROKKA_01758,PROKKA_01529,PROKKA_00123,PROKKA_03329,PROKKA_03650,PROKKA_03251,PROKKA_04036,PROKKA_00028,b4255,ECUMN_4787,UTI89_C4861
18199_hypothetical_protein,,,,,PROKKA_03589,,,PROKKA_01930,PROKKA_01651,,,,,,PROKKA_04094,,,,
38470_yfgF_1,,,,,,,,,PROKKA_03716,PROKKA_04632,PROKKA_02130,,,,,,,,
77266_rnd,ECP_RS08935,c2208,PROKKA_01457,PROKKA_00119,PROKKA_00466,,PROKKA_01787,PROKKA_04861,PROKKA_04485,PROKKA_03646,PROKKA_02878,PROKKA_00462,PROKKA_01983,PROKKA_00453,PROKKA_01174,PROKKA_02982,b1804,ECUMN_2096,UTI89_C1998
15386_hypothetical_protein,,,,,PROKKA_00613,,,,,,,,,,,,,,
54558_tetratricopeptide_re..,,,,,,,,,,,,PROKKA_05107,,,,,,,
76948_yddY,,,,,,,,,,,,,,,,,b4746,,
79776_hypothetical_protein,,,,,,,,,,,,,,,,,,ECUMN_p20040,
15479_ABC_transporter_tran..,,,,,PROKKA_00715,,,PROKKA_04649,,,,,,,PROKKA_01377,,,,
986_Hypothetical_protein,,c1013,,,,,,,,,,,,,,,,,UTI89_C0882
25431_hypothetical_protein,,,,,,,PROKKA_00100,,,,,,,,,,,,
39238_hypothetical_protein,,,,,,,,,PROKKA_04523,,,,,,,,,,
54738_hypothetical_protein,,,,,,,,,,,,,PROKKA_06227 PROKKA_06345,,,,,,
10742_hypothetical_protein,,,,PROKKA_00371,,,,,,,,,,,,,,,
24754_arcC1_3,,,,,,PROKKA_04980,,,,,,,,,,,,,
3916_Hypothetical_protein,ECP_RS16980,c4007,,,,,,,,,,,,,,,,ECUMN_3725,UTI89_C3682
4180_Hypothetical_protein,,c4275,,,,,,,,,,,,,,,,,
38956_pduF,,,,,,,,,PROKKA_04221,,,,,PROKKA_00791,PROKKA_01438,,,ECUMN_2333,
36389_CcdB_protein,,,,,,,,,PROKKA_01507,,,,,,,,,,
78533_yraH,,,,PROKKA_01555,,PROKKA_02905,PROKKA_03093,,,,,,,,,,b3142,,
88522_hypothetical_protein,ECP_RS19545,,,,,,,,,,,,,,,,,,
2396_Hypothetical_protein,ECP_RS10110,c2461,,,,,,PROKKA_04606,,PROKKA_03958,,PROKKA_00769,,PROKKA_00755,PROKKA_01416,PROKKA_02753,,,UTI89_C2216
1544_Hypothetical_protein,,c1593,,,,,,,,,,,,,,,,,
79279_yiiR,ECP_RS21030,c4873,PROKKA_03887,PROKKA_02365,PROKKA_03054,PROKKA_03803,PROKKA_04078,PROKKA_02410,PROKKA_02146,PROKKA_01063,PROKKA_00521,PROKKA_02985,PROKKA_05940,PROKKA_02859,PROKKA_03540,PROKKA_00502,b3921,ECUMN_4449,UTI89_C4505
56085_FMN-binding_protein_..,,,,,,,,,,,,,PROKKA_04111,,,,,,
16316_hypothetical_protein,,,,,PROKKA_01598,,,,PROKKA_03446,,,,,,PROKKA_02188,,,,
27324_hypothetical_protein,,,,,,,PROKKA_02078 PROKKA_02085,,,,,,,,,,,,
22084_purL_1,,,,,,PROKKA_02162,,,,,,,,,,PROKKA_02131,,,
70682_DNA_N-6-adenine-meth..,,,,,,,,,,,,,,,,PROKKA_00325,,,
17395_emrE_3,ECP_RS23315,,,,PROKKA_02726,,,,,,,,,,,PROKKA_05110,,,UTI89_C4958
46897_hypothetical_protein,,,,,,,,,,,PROKKA_02042,,,,,,,,
24383_hypothetical_protein,,,,,,PROKKA_04601,,,,,,,,,,,,,
65658_dmdA_1,,,,,,,,,,,,,,,PROKKA_00002,,,,
1999_Hypothetical_protein,,c2061,,,,,,,,,,,,,,,,,
59032_ycjP_1,,,,,,,,,,,,,PROKKA_01348,,,,,,
78668_trkA,ECP_RS17225,c4050,PROKKA_03141,PROKKA_01703,PROKKA_02270,PROKKA_03062,PROKKA_03382,PROKKA_03133,PROKKA_02847,PROKKA_00303,PROKKA_01223,PROKKA_02275,PROKKA_04765,PROKKA_02159,PROKKA_02769,PROKKA_01206,b3290,ECUMN_3763,UTI89_C3734
41064_Putative_thioesteras..,,,,,,,,,,PROKKA_00984,,,PROKKA_05895,,,,,,
76172_ybgI,ECP_RS03635,c0789,PROKKA_00194,PROKKA_03667,PROKKA_04385,PROKKA_05189,PROKKA_00596,PROKKA_01044,PROKKA_00821,PROKKA_02456,PROKKA_03973,PROKKA_04392,PROKKA_00435,PROKKA_04203,PROKKA_04910,PROKKA_04210,b0710,ECUMN_0788,UTI89_C0708
77878_yffN,,,,,,,,,,,,,,,,,b2445,,
30492_hypothetical_protein,,,,,,,,PROKKA_00611,,PROKKA_04021,,,,,,PROKKA_02688,,,
