,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
c1300|csgF,PROKKA_00529,PROKKA_04006,PROKKA_04822,PROKKA_00382,PROKKA_01006,PROKKA_00595,PROKKA_00508,PROKKA_02774,PROKKA_03659,PROKKA_04704,PROKKA_01010,PROKKA_04691,PROKKA_00399,PROKKA_03785
c2304|motB,PROKKA_01551,PROKKA_00228,PROKKA_00560,PROKKA_01427,PROKKA_01886,PROKKA_04763,PROKKA_04387,PROKKA_03831,PROKKA_02783,PROKKA_00556,PROKKA_02086,PROKKA_00548,PROKKA_01263,PROKKA_02884
c4867|pfkA,PROKKA_03882,PROKKA_02360,PROKKA_03049,PROKKA_03798,PROKKA_04073,PROKKA_02415,PROKKA_02151,PROKKA_01058,PROKKA_00526,PROKKA_02980,PROKKA_05935,PROKKA_02854,PROKKA_03535,PROKKA_00507
c4313|chuT,PROKKA_03375,,PROKKA_02491,,,PROKKA_02900,PROKKA_02622,PROKKA_00527,PROKKA_00999,PROKKA_02506,PROKKA_04536,PROKKA_02395,PROKKA_02994,PROKKA_00977
c0170|htrE,,,,,,PROKKA_01701,PROKKA_01409,PROKKA_01863,,PROKKA_03814,,PROKKA_03562,PROKKA_04323,PROKKA_04751
c4677|rbsA,PROKKA_03664,PROKKA_02183,PROKKA_02854,PROKKA_03604,PROKKA_03883,PROKKA_02615,PROKKA_02348,PROKKA_00803,PROKKA_00734,PROKKA_02785,PROKKA_04103,PROKKA_02655,PROKKA_03299,PROKKA_00701
c4212|ycbS,,,,,,PROKKA_02989,PROKKA_02704,PROKKA_00447,,PROKKA_02420,,PROKKA_02303,PROKKA_02910,PROKKA_01057
c2515|,PROKKA_01692,,PROKKA_00773,,,PROKKA_04554,,PROKKA_04006,PROKKA_02616,PROKKA_03933,,PROKKA_03673,,PROKKA_02699
c0169|yadM,,,,,,PROKKA_01702,,PROKKA_01862,,PROKKA_03813,,PROKKA_03561,,PROKKA_04752
c4991|pgi,PROKKA_04009,PROKKA_02486,PROKKA_03177,PROKKA_03932,PROKKA_04200,PROKKA_02280,PROKKA_02011,PROKKA_01192,PROKKA_00398,PROKKA_03113,PROKKA_03995,PROKKA_02988,PROKKA_03667,PROKKA_00372
c5395|fimC,PROKKA_04320,PROKKA_02804,PROKKA_03573,PROKKA_04254,,PROKKA_01949,PROKKA_01684,PROKKA_01623,PROKKA_00079,PROKKA_03573,PROKKA_03530,PROKKA_03302,PROKKA_04063,PROKKA_05058
c1348|flgH,PROKKA_00571,PROKKA_04046,PROKKA_04863,PROKKA_00425,PROKKA_01045,PROKKA_00554,PROKKA_00464,PROKKA_02814,PROKKA_03618,PROKKA_04745,PROKKA_01054,PROKKA_04733,PROKKA_00439,PROKKA_03744
UTI89_C2186|ybtT,PROKKA_01647,,PROKKA_00724,,PROKKA_01991,PROKKA_04639,PROKKA_04259,PROKKA_03926,PROKKA_02662,PROKKA_00737,,PROKKA_00691,PROKKA_01383,PROKKA_02783
c0775|pgm,PROKKA_00179,PROKKA_03645,PROKKA_04371,PROKKA_05165,PROKKA_00572,PROKKA_01056,PROKKA_00844,PROKKA_02442,PROKKA_03985,PROKKA_04379,PROKKA_00418,PROKKA_04188,PROKKA_04897,PROKKA_04223
c1651|fecD,PROKKA_00752,,PROKKA_05027,,,PROKKA_00305,PROKKA_00358,PROKKA_03017,PROKKA_03459,PROKKA_05009,PROKKA_01176,PROKKA_04934,PROKKA_00607,PROKKA_03559
,,,,,,,,,,,,,,
c3344|eno,PROKKA_02552,PROKKA_01138,PROKKA_01600,PROKKA_02384,PROKKA_02814,PROKKA_03792,PROKKA_03444,PROKKA_05220,PROKKA_01799,PROKKA_01616,PROKKA_05533,PROKKA_01559,PROKKA_02190,PROKKA_01906
c0172|yadN,,PROKKA_03071,PROKKA_03823,PROKKA_04510,PROKKA_04758,PROKKA_01699,PROKKA_01407,PROKKA_01865,,PROKKA_03816,PROKKA_03266,PROKKA_03565,PROKKA_04325,PROKKA_04749
c0616|ybbA,PROKKA_04996,PROKKA_03474,PROKKA_04188,PROKKA_04953,PROKKA_00330,PROKKA_01219,PROKKA_01013,PROKKA_02264,PROKKA_04155,PROKKA_04218,PROKKA_00228,PROKKA_04024,PROKKA_04735,PROKKA_04392
c0673|entF,PROKKA_00078,PROKKA_03543,PROKKA_04261,PROKKA_05055,PROKKA_00467,PROKKA_01163,PROKKA_00954,PROKKA_02336,PROKKA_04096,PROKKA_04274,PROKKA_00299,PROKKA_04083,PROKKA_04792,PROKKA_04327
c4314|chuW,PROKKA_03376,,PROKKA_02492,,,PROKKA_02899,PROKKA_02621,PROKKA_00528,PROKKA_00998,PROKKA_02507,PROKKA_04535,PROKKA_02396,PROKKA_02995,PROKKA_00976
c1346|flgF,PROKKA_00569,PROKKA_04044,PROKKA_04861,PROKKA_00423,PROKKA_01043,PROKKA_00556,PROKKA_00466,PROKKA_02812,PROKKA_03620,PROKKA_04742,PROKKA_01052,PROKKA_04730,PROKKA_00437,PROKKA_03746
c2879|yfcP,,,PROKKA_01140,,,PROKKA_04189,PROKKA_03852,PROKKA_04491,PROKKA_02262,PROKKA_01172,,PROKKA_01153,PROKKA_01799,PROKKA_02328
c5239|frdD,PROKKA_04185,PROKKA_02619,PROKKA_03346,PROKKA_04083,PROKKA_04338,PROKKA_02118,PROKKA_01865,PROKKA_01423,PROKKA_00232,PROKKA_03434,PROKKA_03766,PROKKA_03140,PROKKA_03927,PROKKA_00133
c1717|tonB,PROKKA_00820,PROKKA_04207,PROKKA_05127,PROKKA_00640,PROKKA_01263,PROKKA_00236,PROKKA_00296,PROKKA_03079,PROKKA_03393,PROKKA_05076,PROKKA_01274,PROKKA_04999,PROKKA_00673,PROKKA_03497
c1790|ycjV,,PROKKA_04277,PROKKA_00080,PROKKA_00717,PROKKA_01337,PROKKA_00167,PROKKA_00150,PROKKA_03236,PROKKA_03326,PROKKA_00059,PROKKA_01355,PROKKA_05065,PROKKA_00740,PROKKA_03424
UTI89_C0566|ompT,PROKKA_00034,,PROKKA_04226,PROKKA_05023,PROKKA_00433,PROKKA_01185,PROKKA_00977,PROKKA_02302,PROKKA_04964,PROKKA_04253,,PROKKA_04058,PROKKA_04770,
c0473|tauB,PROKKA_04858,PROKKA_03342,PROKKA_04055,PROKKA_04814,PROKKA_00192,PROKKA_01360,PROKKA_01148,PROKKA_02127,PROKKA_04287,PROKKA_04087,PROKKA_00080,PROKKA_03888,PROKKA_04603,PROKKA_04531
c4318|,PROKKA_03379,,PROKKA_02495,,,PROKKA_02895,PROKKA_02617,PROKKA_00531,PROKKA_00994,PROKKA_02510,PROKKA_04531,PROKKA_02399,PROKKA_02998,PROKKA_00972
c4388|xylH,PROKKA_03458,PROKKA_01985,PROKKA_02568,PROKKA_03369,PROKKA_03664,PROKKA_02819,PROKKA_02535,PROKKA_00608,PROKKA_00921,PROKKA_02582,PROKKA_04441,PROKKA_02470,PROKKA_03067,PROKKA_00899
c2362|fliM,PROKKA_01603,PROKKA_00280,PROKKA_00677,PROKKA_01474,PROKKA_01946,PROKKA_04710,PROKKA_04333,PROKKA_03884,PROKKA_02730,PROKKA_00607,PROKKA_02143,PROKKA_00600,PROKKA_01315,
c0147|acnB,PROKKA_04552,PROKKA_03048,PROKKA_03798,PROKKA_04484,PROKKA_04675,PROKKA_01723,PROKKA_01432,PROKKA_01842,PROKKA_04600,PROKKA_03792,PROKKA_03293,PROKKA_03540,PROKKA_04302,PROKKA_04773
c4356|dppD,PROKKA_03427,PROKKA_01951,PROKKA_02538,PROKKA_03335,PROKKA_03634,PROKKA_02851,PROKKA_02571,PROKKA_00573,PROKKA_00951,PROKKA_02551,PROKKA_04480,PROKKA_02440,PROKKA_03037,PROKKA_00931
c1517|icdA,PROKKA_00637,PROKKA_04105,PROKKA_04922,PROKKA_00528,PROKKA_01162,PROKKA_00426,PROKKA_00401,PROKKA_02943,PROKKA_03560,PROKKA_04887,PROKKA_01127,PROKKA_04863,PROKKA_00498,PROKKA_03683
c1392|lolD,PROKKA_00615,PROKKA_04084,PROKKA_04902,PROKKA_00468,PROKKA_01083,PROKKA_00512,PROKKA_00422,PROKKA_02853,PROKKA_03579,PROKKA_04783,PROKKA_01100,PROKKA_04772,PROKKA_00477,PROKKA_03702
c3774|,,,PROKKA_02003,,,PROKKA_03407,PROKKA_03111,PROKKA_00023,PROKKA_01489,PROKKA_02008,PROKKA_05133,PROKKA_01879,PROKKA_02501,PROKKA_01494
c2338|fliC,,,,,,PROKKA_04733,,,,PROKKA_00587,,,,
c3583|papG,,,,,,PROKKA_03570,,,,PROKKA_03464,,,,
c0658|cusC,PROKKA_00058,PROKKA_03526,PROKKA_04233,PROKKA_05036,PROKKA_00450,PROKKA_01179,PROKKA_00971,PROKKA_02308,PROKKA_04112,PROKKA_04259,PROKKA_00282,PROKKA_04064,PROKKA_04776,PROKKA_04346
c1252|iroD,,,,,,PROKKA_00641,,,PROKKA_04971,,PROKKA_06067,PROKKA_04605,PROKKA_00360,PROKKA_03857
c5077|yddO,,,PROKKA_03250,,,PROKKA_02204,PROKKA_01949,PROKKA_01260,PROKKA_00325,PROKKA_03186,,PROKKA_03055,PROKKA_03733,PROKKA_00219
c2071|pykF,PROKKA_01324,PROKKA_04630,PROKKA_00339,PROKKA_01181,PROKKA_01656,PROKKA_04991,PROKKA_04617,PROKKA_03512,PROKKA_03004,PROKKA_00334,PROKKA_01836,PROKKA_00325,PROKKA_01045,PROKKA_03126
c2883|yfcU,,,PROKKA_01144,,,PROKKA_04185,PROKKA_03849,PROKKA_04495,PROKKA_02259,PROKKA_01176,PROKKA_02723,PROKKA_01157,PROKKA_01803,PROKKA_02325
c1342|flgB,PROKKA_00565,PROKKA_04040,PROKKA_04857,PROKKA_00418,PROKKA_01039,PROKKA_00560,PROKKA_00470,PROKKA_02808,PROKKA_03625,PROKKA_04738,PROKKA_01048,PROKKA_04725,PROKKA_00433,PROKKA_03750
c2105|btuD,PROKKA_01361,PROKKA_00031,PROKKA_00374,PROKKA_01221,PROKKA_01693,PROKKA_04954,PROKKA_04580,PROKKA_03550,PROKKA_02969,PROKKA_00370,PROKKA_01877,PROKKA_00361,PROKKA_01083,PROKKA_03088
c1245|focH,,,,,,PROKKA_00650,,,,,,PROKKA_04597,PROKKA_00352,
c1745|acnA,PROKKA_00916,PROKKA_04234,PROKKA_00040,PROKKA_00672,PROKKA_01293,PROKKA_00209,PROKKA_00193,PROKKA_03195,PROKKA_03367,PROKKA_05102,PROKKA_01305,PROKKA_05024,PROKKA_00700,PROKKA_03468
c5111|phnC,PROKKA_04087,PROKKA_02568,PROKKA_03286,PROKKA_04028,PROKKA_04286,PROKKA_02170,PROKKA_01916,PROKKA_01294,PROKKA_00291,PROKKA_03221,PROKKA_03895,PROKKA_03090,PROKKA_03768,PROKKA_00186
c1253|iroC,,,,,,PROKKA_00639,,,PROKKA_04972,,PROKKA_06066,PROKKA_04606,PROKKA_00362,
c1345|flgE,PROKKA_00568,PROKKA_04043,PROKKA_04860,PROKKA_00422,PROKKA_01042,PROKKA_00557,PROKKA_00467,PROKKA_02811,PROKKA_03622,PROKKA_04741,PROKKA_01051,PROKKA_04728,PROKKA_00436,PROKKA_03747
c0803|sucA,PROKKA_00210,PROKKA_03683,PROKKA_04407,PROKKA_05205,PROKKA_00613,PROKKA_01031,PROKKA_00808,PROKKA_02469,PROKKA_03960,PROKKA_04405,PROKKA_00459,PROKKA_04216,PROKKA_04923,PROKKA_04197
c2997|acrD,PROKKA_02216,PROKKA_00842,PROKKA_01260,PROKKA_02049,PROKKA_02491,PROKKA_04074,PROKKA_03741,PROKKA_04607,PROKKA_02154,PROKKA_01288,PROKKA_02850,PROKKA_01266,PROKKA_01907,PROKKA_02215
c2738|ccmA,PROKKA_01970,PROKKA_00557,PROKKA_01001,PROKKA_01791,PROKKA_02249,PROKKA_04326,PROKKA_03986,PROKKA_04231,PROKKA_02397,PROKKA_01037,PROKKA_02553,PROKKA_01018,PROKKA_01665,PROKKA_02469
c2339|fliD,,,,PROKKA_01458,PROKKA_01926,PROKKA_04732,PROKKA_04355,,,PROKKA_00588,PROKKA_02119,PROKKA_00580,PROKKA_01296,PROKKA_02852
c0800|sdhD,PROKKA_00206,PROKKA_03679,PROKKA_04403,PROKKA_05201,PROKKA_00609,PROKKA_01034,PROKKA_00811,PROKKA_02465,PROKKA_03963,PROKKA_04401,PROKKA_00455,PROKKA_04212,PROKKA_04919,PROKKA_04200
c1865|ydcT,PROKKA_01030,PROKKA_04372,PROKKA_00157,PROKKA_00859,,PROKKA_00089,PROKKA_00078,PROKKA_03312,PROKKA_03188,PROKKA_00131,PROKKA_01513,PROKKA_00065,PROKKA_00809,PROKKA_03341
c0844|ybhE,PROKKA_00261,PROKKA_03726,PROKKA_04450,PROKKA_00026,PROKKA_00656,PROKKA_00989,PROKKA_00765,PROKKA_02510,PROKKA_03917,PROKKA_04447,PROKKA_00531,PROKKA_04257,PROKKA_04961,PROKKA_04154
c3619|sat,,,PROKKA_01845,,,,,PROKKA_04928,,PROKKA_01846,,,,
c1250|iroN,,,,,,PROKKA_00644,,,PROKKA_04968,,PROKKA_06070,PROKKA_04602,PROKKA_00357,
c2264|edd,PROKKA_01511,PROKKA_00175,PROKKA_00517,PROKKA_01387,PROKKA_01841,PROKKA_04805,PROKKA_04427,PROKKA_03700,PROKKA_02824,PROKKA_00515,PROKKA_02039,PROKKA_00508,PROKKA_01224,PROKKA_02926
c3591|papH,,,,,,,,,,PROKKA_03471,,,,
UTI89_C2184|irp1,PROKKA_01644,,PROKKA_00720,,PROKKA_01987,PROKKA_04640,PROKKA_04260,PROKKA_03923,PROKKA_02663,PROKKA_00735,,PROKKA_00690,PROKKA_01381,PROKKA_02784
c1242|focD,,,,,,PROKKA_00654,,,,,,PROKKA_04593,PROKKA_03888,
c4244|livF,PROKKA_03292,PROKKA_01854,PROKKA_02432,PROKKA_03220,PROKKA_03540,PROKKA_02957,PROKKA_02674,PROKKA_00477,PROKKA_01063,PROKKA_02450,PROKKA_04597,PROKKA_02333,PROKKA_02937,PROKKA_01025
c3626|iucB,,,PROKKA_01841,,PROKKA_04997,,,PROKKA_04932,,PROKKA_01841,PROKKA_06190,,,PROKKA_05279
c2365|fliP,PROKKA_01607,PROKKA_00284,PROKKA_00681,PROKKA_01478,PROKKA_01950,PROKKA_04708,PROKKA_04331,PROKKA_03888,PROKKA_02728,PROKKA_00611,PROKKA_02147,PROKKA_00604,PROKKA_01319,
c5240|frdC,PROKKA_04186,PROKKA_02620,PROKKA_03347,PROKKA_04084,PROKKA_04339,PROKKA_02118,PROKKA_01865,PROKKA_01424,PROKKA_00232,PROKKA_03434,PROKKA_03766,PROKKA_03141,PROKKA_03928,PROKKA_00133
c0796|gltA,PROKKA_00204,PROKKA_03677,PROKKA_04401,PROKKA_05199,PROKKA_00607,PROKKA_01037,PROKKA_00814,PROKKA_02463,PROKKA_03966,PROKKA_04399,PROKKA_00452,PROKKA_04210,PROKKA_04917,PROKKA_04203
c0125|hofC,PROKKA_04538,PROKKA_03034,PROKKA_03780,PROKKA_04470,PROKKA_04687,PROKKA_01739,PROKKA_01445,PROKKA_01824,PROKKA_04615,PROKKA_03775,PROKKA_03306,PROKKA_03523,PROKKA_04284,PROKKA_04789
c3230|proV,PROKKA_02440,PROKKA_01034,PROKKA_01490,PROKKA_02261,PROKKA_02712,PROKKA_03903,PROKKA_03553,PROKKA_05335,PROKKA_01930,PROKKA_01507,PROKKA_05646,PROKKA_01443,PROKKA_02082,PROKKA_02033
c2353|fliE,PROKKA_01596,PROKKA_00273,PROKKA_00669,PROKKA_01467,PROKKA_01939,PROKKA_04720,PROKKA_04342,PROKKA_03877,PROKKA_02739,PROKKA_00600,PROKKA_02134,PROKKA_00593,PROKKA_01308,
c0678|ybdA,PROKKA_00085,PROKKA_03549,PROKKA_04267,PROKKA_05061,PROKKA_00473,PROKKA_01157,PROKKA_00948,PROKKA_02342,PROKKA_04090,PROKKA_04280,PROKKA_00307,PROKKA_04089,PROKKA_04798,PROKKA_04322
c2395|,,,,,,PROKKA_04679,PROKKA_04297,,PROKKA_02700,PROKKA_00639,,PROKKA_00639,PROKKA_01347,PROKKA_02819
c4176|pckA,PROKKA_03237,PROKKA_01800,PROKKA_02382,PROKKA_03165,PROKKA_03486,PROKKA_03021,PROKKA_02737,PROKKA_00415,PROKKA_01112,PROKKA_02387,PROKKA_04658,PROKKA_02272,PROKKA_02880,PROKKA_01091
c0988|potG,PROKKA_00360,PROKKA_03820,PROKKA_04540,PROKKA_00142,PROKKA_00757,PROKKA_00899,PROKKA_00673,PROKKA_02606,PROKKA_03827,PROKKA_04537,PROKKA_00762,PROKKA_04351,PROKKA_00135,PROKKA_04062
c1243|focF,,,,,,PROKKA_00652,,,,,,PROKKA_04596,PROKKA_03890,
c0842|modC,PROKKA_00259,PROKKA_03724,PROKKA_04448,PROKKA_00024,PROKKA_00654,PROKKA_00991,PROKKA_00767,PROKKA_02508,PROKKA_03919,PROKKA_04445,PROKKA_00529,PROKKA_04255,PROKKA_04959,PROKKA_04156
c0363|,,,,,,,,,,,,PROKKA_03725,,
c5399|fimG,PROKKA_04323,PROKKA_02807,PROKKA_03576,PROKKA_04257,,PROKKA_01945,PROKKA_01680,PROKKA_01626,PROKKA_00076,PROKKA_03576,PROKKA_03527,PROKKA_03305,PROKKA_04066,PROKKA_05055
c1299|csgG,PROKKA_00528,PROKKA_04005,PROKKA_04821,PROKKA_00381,PROKKA_01005,PROKKA_00596,PROKKA_00509,PROKKA_02773,PROKKA_03660,PROKKA_04703,PROKKA_01009,PROKKA_04690,PROKKA_00398,PROKKA_03786
c2690|cirA,PROKKA_01924,PROKKA_00513,PROKKA_00956,PROKKA_01741,PROKKA_02202,PROKKA_04375,PROKKA_04034,PROKKA_04187,PROKKA_02443,PROKKA_00990,PROKKA_02485,PROKKA_00971,PROKKA_01618,PROKKA_02517
c2157|ynjD,PROKKA_01408,PROKKA_00078,PROKKA_00421,PROKKA_01272,PROKKA_01743,PROKKA_04907,PROKKA_04531,PROKKA_03596,PROKKA_02921,PROKKA_00416,PROKKA_01930,PROKKA_00407,PROKKA_01130,PROKKA_03037
c1352|flgL,PROKKA_00575,PROKKA_04050,PROKKA_04867,PROKKA_00429,PROKKA_01049,PROKKA_00549,PROKKA_00460,PROKKA_02818,PROKKA_03614,PROKKA_04749,PROKKA_01058,PROKKA_04737,PROKKA_00443,PROKKA_03739
c3961|yhbG,PROKKA_03056,PROKKA_01619,PROKKA_02178,PROKKA_02970,PROKKA_03298,PROKKA_03227,PROKKA_02939,PROKKA_00209,PROKKA_01315,PROKKA_02182,PROKKA_04868,PROKKA_02064,PROKKA_02678,PROKKA_01302
c2305|motA,PROKKA_01551,PROKKA_00228,PROKKA_00560,PROKKA_01427,PROKKA_01886,PROKKA_04763,PROKKA_04387,PROKKA_03831,PROKKA_02783,PROKKA_00556,PROKKA_02086,PROKKA_00548,PROKKA_01263,PROKKA_02884
c4156|rpe,PROKKA_03219,PROKKA_01781,PROKKA_02363,PROKKA_03145,PROKKA_03467,PROKKA_03039,PROKKA_02754,PROKKA_00396,PROKKA_01130,PROKKA_02369,PROKKA_04677,PROKKA_02252,PROKKA_02862,PROKKA_01109
c1301|csgE,PROKKA_00530,PROKKA_04007,PROKKA_04823,PROKKA_00383,PROKKA_01007,PROKKA_00594,PROKKA_00507,PROKKA_02775,PROKKA_03658,PROKKA_04705,PROKKA_01011,PROKKA_04692,PROKKA_00400,PROKKA_03784
c1768|sapD,PROKKA_00932,PROKKA_04250,PROKKA_00060,PROKKA_00690,PROKKA_01309,PROKKA_00188,PROKKA_00171,PROKKA_03216,PROKKA_03347,PROKKA_00039,PROKKA_01327,PROKKA_05045,PROKKA_00720,PROKKA_03445
c1598|sitC,PROKKA_00701,,PROKKA_04981,,PROKKA_04989,PROKKA_00353,,PROKKA_02974,PROKKA_03501,PROKKA_04964,PROKKA_01455,PROKKA_04892,PROKKA_00562,PROKKA_03607
c3510|,PROKKA_02725,PROKKA_01328,PROKKA_01778,PROKKA_02574,PROKKA_02985,PROKKA_03618,PROKKA_03266,PROKKA_05048,PROKKA_01629,PROKKA_01776,,PROKKA_01730,PROKKA_02356,PROKKA_01730
c1710|oppD,PROKKA_00814,PROKKA_04201,PROKKA_05121,PROKKA_00632,PROKKA_01256,PROKKA_00241,PROKKA_00301,PROKKA_03073,PROKKA_03398,PROKKA_05070,PROKKA_01266,PROKKA_04991,PROKKA_00666,PROKKA_03502
c2162|gdhA,PROKKA_01414,PROKKA_00084,PROKKA_00427,PROKKA_01278,PROKKA_01749,PROKKA_04902,PROKKA_04526,PROKKA_03602,PROKKA_02916,PROKKA_00422,PROKKA_01936,PROKKA_00413,PROKKA_01136,PROKKA_03032
c2354|fliF,PROKKA_01597,PROKKA_00274,PROKKA_00670,PROKKA_01468,PROKKA_01940,PROKKA_04717,PROKKA_04340,PROKKA_03878,PROKKA_02737,PROKKA_00601,PROKKA_02135,PROKKA_00594,PROKKA_01309,
c2636|yehB,PROKKA_01872,PROKKA_00465,PROKKA_00906,PROKKA_01680,PROKKA_02154,PROKKA_04425,PROKKA_04083,PROKKA_04137,PROKKA_02490,PROKKA_00942,PROKKA_02425,PROKKA_00922,PROKKA_01569,PROKKA_02570
c0668|entD,PROKKA_00075,PROKKA_03540,,PROKKA_05050,PROKKA_00464,PROKKA_01167,PROKKA_00958,,PROKKA_04100,PROKKA_04271,PROKKA_00296,PROKKA_04080,PROKKA_04789,PROKKA_04331
c4316|chuY,PROKKA_03378,,PROKKA_02494,,,PROKKA_02897,PROKKA_02619,PROKKA_00530,PROKKA_00996,PROKKA_02509,PROKKA_04533,PROKKA_02398,PROKKA_02997,PROKKA_00974
c0836|modF,PROKKA_00254,PROKKA_03719,PROKKA_04443,PROKKA_00019,PROKKA_00649,PROKKA_00996,PROKKA_00772,PROKKA_02503,PROKKA_03924,PROKKA_04440,PROKKA_00523,PROKKA_04250,PROKKA_04954,PROKKA_04161
c2468|,,,,,,,,PROKKA_03964,,PROKKA_00774,,PROKKA_00760,PROKKA_01421,PROKKA_02746
c5396|fimD,PROKKA_04321,PROKKA_02805,PROKKA_03574,PROKKA_04255,,PROKKA_01947,PROKKA_01682,PROKKA_01624,PROKKA_00078,PROKKA_03574,PROKKA_03529,PROKKA_03303,PROKKA_04064,PROKKA_05057
